Time;Latitude;Longitude;Course;kts;mph;metres;Rate;Reporting Facility
Sat 09:23:25 PM;44.6998;26.8179;↑ 341°;461;531;10973;Level;FlightAware ADS-B (LRTZ)
Sat 09:23:55 PM;44.7573;26.7910;↑ 341°;462;532;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:24:25 PM;44.8187;26.7622;↑ 342°;463;533;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:24:55 PM;44.8801;26.7335;↑ 342°;462;532;10973;Level;FlightAware ADS-B (BCM / LRBC)
Sat 09:25:25 PM;44.9411;26.7047;↑ 341°;459;528;10973;Level;FlightAware ADS-B (BCM / LRBC)
Sat 09:25:55 PM;45.0004;26.6766;↑ 342°;457;526;10973;Level;FlightAware ADS-B (LRBG)
Sat 09:26:26 PM;45.0638;26.6464;↑ 341°;456;525;10973;Level;FlightAware ADS-B (LRTZ)
Sat 09:26:57 PM;45.1236;26.6177;↑ 341°;456;525;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:27:27 PM;45.1836;26.5890;↑ 341°;457;526;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:27:58 PM;45.2449;26.5600;↑ 342°;457;526;10973;Level;FlightAware ADS-B (TSR / LRTR)
Sat 09:28:28 PM;45.3062;26.5309;↑ 341°;457;526;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:28:58 PM;45.3680;26.5014;↑ 341°;458;527;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:29:28 PM;45.4267;26.4733;↑ 341°;457;526;10973;Level;FlightAware ADS-B (TSR / LRTR)
Sat 09:29:59 PM;45.4896;26.4431;↑ 341°;458;527;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:30:29 PM;45.5499;26.4139;↑ 341°;458;527;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:30:59 PM;45.6106;26.3845;↑ 341°;459;528;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:31:29 PM;45.6678;26.3566;↑ 341°;458;527;10973;Level;FlightAware ADS-B (TSR / LRTR)
Sat 09:31:59 PM;45.7288;26.3272;↑ 341°;458;527;10973;Level;FlightAware ADS-B (OTP / LROP)
